chain_id,dp,mass,fraction_m1,fraction_m2,sequence
965,147,17363.632999999994,0.46258503401360546,0.5374149659863946,212221221222121212112122112121212122121212121121212121212121211122122121212221212212122221211221211212221121122121221221212121212211121212122121211
966,63,7497.252000000001,0.42857142857142855,0.5714285714285714,221121212212111212221221212112121212222222121222121212122121121
967,323,37955.60199999983,0.48606811145510836,0.5139318885448917,12121221212122122112121222212211221221212212111211211212222122221211122122212121212121222212121211121212212221121122111221221212212121121211121221121211211211121212211112121122121221122112112121121121212122211212122212222212112211211111121222221211221221212111121212122122121112221112212221222121212121211212221121221121121
968,238,28192.996999999923,0.4495798319327731,0.5504201680672269,2121122122112122122121212211121221211122111222121221212112122112121222221212222122212122121221221212121222121222121221221112212112121121212112121111212112121112212212212112221122121212111122212222212221212212212112121212212212122122122121
969,282,33321.49599999989,0.46099290780141844,0.5390070921985816,211212112212121221122111222111211212212122212122111212121212212211122212122121212122222222221121221122122112222121211111212111112212121211212112112121121112222122112122121212121112122122211121221121221212222122122122112121221121222211112212221212122212112222122212221121122121221122
970,108,12729.903000000002,0.4722222222222222,0.5277777777777778,211221212122212112121211212112212212212122212121212211122121211212211112212121222221212212122121211111211222
971,114,13510.761000000002,0.4473684210526316,0.5526315789473685,221121212212121211212121212211122122122212121212221221212122122212121122111212122212121222212121121212112122212121
972,111,13172.314000000002,0.44144144144144143,0.5585585585585585,221222121212122121212112121121222221111122121212112122212222211211221212222122222222211112112121212111211212212
973,79,9449.585000000001,0.4050632911392405,0.5949367088607594,2121122221212122212112121212222211212122212222121121222222121221111211221212122
974,13,1587.8950000000002,0.3076923076923077,0.6923076923076923,2212222121212
975,54,6403.938000000001,0.4444444444444444,0.5555555555555556,221121222212221122121221212111221121212222212112112211
976,246,28896.257999999918,0.4878048780487805,0.5121951219512195,212121121212112212212212211121121221212121121121211222121211212212112111222212112121212121212212121112121222212221212121121221221212111112111212122111221122212112212221212211212121212221221111212112221111212212121221221212212121222121221211222211
977,68,7966.030000000002,0.5,0.5,21121211211212212122212121121212121212122121212122121211212122121211
978,18,2134.646,0.4444444444444444,0.5555555555555556,221211212121212122
979,168,19810.73499999998,0.47023809523809523,0.5297619047619048,112212212221122212112211212112211212122121211222212121221211121221221211221212112122111212121212121121222212121212121212121211221222122121212112212221112212122212121211
980,37,4347.453,0.4864864864864865,0.5135135135135135,2212111122121212121122121222121212112
981,95,11090.026000000002,0.5157894736842106,0.4842105263157895,22122111111112211221221211212112211122212122212121211221212212112211221221221211211121121212121
982,18,2134.646,0.4444444444444444,0.5555555555555556,211221222121112212
983,203,24001.865999999955,0.458128078817734,0.541871921182266,12121212121211212222221121121121221212222212212212221212122122121211211121111222121211211222121222121211212111211212112221221212121221112222212112121212121211212211212212122122121212212122212212122112122
984,69,8122.164000000002,0.4782608695652174,0.5217391304347826,112112121212122211121212212122221212122221211121221221211212122112121
985,6,728.876,0.3333333333333333,0.6666666666666666,222121
986,54,6299.974000000001,0.5185185185185185,0.48148148148148145,212121212222121212121121222121121211121121211212121112
987,6,702.885,0.5,0.5,212112
