chain_id,dp,mass,fraction_m1,fraction_m2,sequence
334,84,11605.944000000009,0.5,0.5,211221211221112122112221212111221222112212211222122122112121221212111122121112121112
335,62,8634.320000000005,0.4838709677419355,0.5161290322580645,11212122112222111222211112112112112112212121212212121222112222
336,40,5798.752000000001,0.4,0.6,1211212121212222122211211222121222222121
337,315,43760.38800000001,0.4888888888888889,0.5111111111111111,212122121112112221121212121121121212212121121211222112122122121221122121121211212112212211121212121221212121222122212222121212121211221121221212221112112121211121112221122221111212122211221211212112122121212122211221121212121222121212122121112121221211211212111222212122121121212211121212221111212122212211222121212
338,19,2863.252,0.3157894736842105,0.6842105263157895,2121222221122221212
339,465,65165.56800000015,0.47096774193548385,0.5290322580645161,122212222121212121211221212122212221221212121221212122122222122122121211221212211211212112122211212112221212112111112212211211212221212211122111111212112122111221212122111221121211211212111212112122112122112121212222121212112121222121221112211212211112222121121212121212212121212221211212121212121221121221121121221212121212111212212212211222121121222122121211222222221221222212122221211222111212121112122112112121222211222221211211111212212122212212221222111211212
340,44,6351.416000000002,0.4090909090909091,0.5909090909090909,21212122222121212112212212222121211121212221
341,134,18718.327999999998,0.47761194029850745,0.5223880597014925,21122121221212112122212212121112221122221112112121121212112212121121212122222121221121221122121221212112112212122212121211121211212212
342,4,552.664,0.5,0.5,2121
343,10,1381.6600000000003,0.5,0.5,2112212121
344,84,11742.00000000001,0.47619047619047616,0.5238095238095238,122211122112121212111221211212122112121221111222121222122121221222212121212212121211
345,74,10496.396000000008,0.44594594594594594,0.5540540540540541,11212212121221122121212112122212121211222122121222112221122211121222212121
346,64,8910.652000000006,0.484375,0.515625,2122121211121211212211222111111112121222112212222221212122221112
347,15,2174.5320000000006,0.4,0.6,221112212121222
348,12,1657.9920000000004,0.5,0.5,121212212112
349,1,172.18,0.0,1.0,2
350,206,28598.251999999946,0.49029126213592233,0.5097087378640777,11212122212211212121212122112212112122121211212121211212122121112122212221212122211221122211212111222121212212121222112212121212121212121121112112112121211212221221112122212221211221212112122221211211212111
351,6,828.9960000000001,0.5,0.5,221121
352,201,28553.68799999996,0.4427860696517413,0.5572139303482587,212121212122212121221121121222121221212122112111212122122221212212112222121221212121212122112121221212212121221122212121121221122122212121221222212221111212121211212212221122212112221112122211212122121
353,514,72581.96800000002,0.45525291828793774,0.5447470817120622,2121122222122112121211221211112212121221211211212111222121112121121221122112221212211212121212212121212122112221111212222222121212122122212222211212122122212212112121211211212121222121221212121211221121111212212212222121221211121112221221221222121212121122112122121222222112121212221212122212211212122212122112122111221212212121221221212112121222212112211212212121112121121212212122112112212121212212121212212122122221122121212111211121122222122121212122122212211122212121211122112112122212211221212212212112221221
354,298,42397.97200000001,0.4395973154362416,0.5604026845637584,2211112212222122121212222121212212121221221212112122222212112121111222122211222112211212121212122212212212212212211211221112122121121212111122222112121122221211121222221222212112212221212121121221212121222121212211121212122212122211221111221211122122122122122121121221212112212221212121212111222212
355,165,22763.37599999997,0.503030303030303,0.49696969696969695,111221212122112122122122122222121221112121212122111122222121212121212211212212121212112122112121122111212112122111122221211211211212122121211121222112121121211211212
356,60,8562.072000000004,0.43333333333333335,0.5666666666666667,112111221212222211222222121212122222121211212121212212111212
357,28,4004.7039999999997,0.42857142857142855,0.5714285714285714,2122122121122121221212221112
358,24,3315.984,0.5,0.5,112112221211212212212112
359,20,2967.404,0.35,0.65,22221112122221221212
360,117,15995.352000000014,0.5213675213675214,0.47863247863247865,121221121112122122122112112211222122111122111121211112212122121221222111212122122212111212212122121121111221211212121
361,139,19987.396,0.4172661870503597,0.5827338129496403,2122222221121211212222212112112112121121121221212211212122222222211212121221121121122121122212121221222111222221221212222212122122212212111
362,100,14224.768000000013,0.44,0.56,2122122212212121112121211222122222121121222121222212111212122122122121212121221211121211212212211212
363,276,38405.92799999997,0.4855072463768116,0.5144927536231884,221212122121212211221112121222211212121112222212212112121111221221112211122212222121212122121221212121221122222112111212112212121212112112121221121121212121212112112121121212121221122122121212122111121221212221212122112112112122122222112112121221221211212121221121112212122121
364,148,21264.903999999988,0.4189189189189189,0.581081081081081,2121212212122121122222121221212121122111121222212212111221222112112222212221212122121222122212212212122122121221211121121221122122212121212122122121
365,99,13848.504000000012,0.47474747474747475,0.5252525252525253,112211122121221211112211222122211212212212121221221212121221112121221212212111221221121221212121221
366,261,37183.787999999964,0.4367816091954023,0.5632183908045977,122221122122122212121222122121221221222121221212212111222122112121121212121122211221122221221221222212121212221212211211121211212121121212211212221121221211212121212212121221222212122121211211221212122221212112112122121212212122211212211221222211211121212122122
367,145,20680.335999999996,0.43448275862068964,0.5655172413793104,1112221221212121222121221212212121212212112121121212121212222121212121122122212211212111212121212212121212212222222212121122121212122112212211222
368,7,1001.1760000000002,0.42857142857142855,0.5714285714285714,2112212
369,31,4521.244,0.3870967741935484,0.6129032258064516,2121222121221221122212122122121
370,104,14369.264000000012,0.5,0.5,12121221212121212211111211212121212221122121121121222121212111212122121121212122221222111221212121121221
371,77,10536.740000000007,0.5194805194805194,0.4805194805194805,21211212121212221121121121122112212112121221121221121221212221112111122121212
372,129,17857.428000000007,0.49612403100775193,0.5038759689922481,121211122122212212112212212122111121212121212121221112121221121121222121212121122112112212121212122121122221111212221212112122121
373,21,2867.472,0.5238095238095238,0.47619047619047616,212122112121212112121
374,25,3556.1919999999996,0.44,0.56,1212112212122121222212121
375,45,6387.540000000003,0.4444444444444444,0.5555555555555556,121221212212221221212121221112121221122121212
376,153,21513.55199999999,0.46405228758169936,0.5359477124183006,212211111112122211122112121222122121122122121121121221211121212211122121221222121222212121222112121212221221221222121121112121221212212121221221212221121
377,76,11044.840000000007,0.39473684210526316,0.6052631578947368,2122122121212112121212212222121212122122112212212122212122121221222122122121
378,77,10536.740000000007,0.5194805194805194,0.4805194805194805,12121121212121221212212212122122111221121121121112122121121211121122122211221
379,370,51733.67200000011,0.4756756756756757,0.5243243243243243,2122112212122121222121221121211212212112112121211211221212212122121212122121211212212121221221211222221121121221111121212212211222122121122211212212222121212122122211112211221222121212112112122221121212222212221222212121221122221122112122112212222111112121121211221112112122212211121212222212122112211221212111112121212121211221211121212121111212112121121121221121211222
380,83,12046.016000000009,0.39759036144578314,0.6024096385542169,11122212122121122221212212212112122122112211212212222212211212222111222212212222211
381,491,68213.66000000012,0.48879837067209775,0.5112016293279023,21211212121212121121112121211121211212112122111221221211121211122212121121221221212121221212111221122122121212112121212222211122122121221212112112121122111121212112121212121221222121221111212221112121211221212121212121212122212212212112121212122222222212121221121221212211211212122112121221212211212121121222212121221121221221221211111221221121221121211112122122122212121212212212111121221112112122212122212212222122121212212211211212121221211122212221111212122121121112121111212212221121221
382,53,7492.868000000004,0.4528301886792453,0.5471698113207547,21211212222121211211122221212121121122212121221212122
383,18,2282.9040000000005,0.6666666666666666,0.3333333333333333,111122121121111212
384,11,1553.8400000000004,0.45454545454545453,0.5454545454545454,12212121122
